SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,CRN,EXAM_DATE,EXAM_TIME,BLDG_CODE,ROOM_CODE
BIOE,592,001,12858,12/9/2022,1900,TBA,TBA
STAT,699,001,10542,12/9/2022,0900,TBA,TBA
MATH,321,001,10059,12/9/2022,1400,TBA,TBA
MATH,355,002,13207,12/9/2022,0900,HRG,100
SOCI,309,001,14096,12/9/2022,1900,TBA,TBA
ASTR,400,001,12810,12/9/2022,1400,TBA,TBA
ASTR,500,001,12811,12/9/2022,1400,TBA,TBA
MATH,354,002,14605,12/9/2022,1900,ABL,131
ENGL,272,002,14604,12/9/2022,0900,TBA,TBA
SOCI,101,005,14730,12/9/2022,0900,TBA,TBA
ARTS,326,001,14117,12/9/2022,1400,TBA,TBA
MUSI,338,003,10490,12/9/2022,1400,TBA,TBA
MUSI,338,004,10491,12/9/2022,1400,TBA,TBA
MUSI,338,006,10493,12/9/2022,1400,TBA,TBA
MUSI,338,007,10494,12/9/2022,1400,TBA,TBA
MUSI,338,008,10495,12/9/2022,1400,TBA,TBA
MUSI,338,010,10497,12/9/2022,1400,TBA,TBA
MUSI,338,011,10498,12/9/2022,1400,TBA,TBA
MUSI,338,013,10500,12/9/2022,1400,TBA,TBA
MUSI,338,015,10501,12/9/2022,1400,TBA,TBA
MUSI,338,016,10502,12/9/2022,1400,TBA,TBA
MUSI,338,018,10504,12/9/2022,1400,TBA,TBA
MUSI,338,019,10505,12/9/2022,1400,TBA,TBA
MUSI,338,020,10506,12/9/2022,1400,TBA,TBA
MUSI,338,021,10507,12/9/2022,1400,TBA,TBA
MUSI,338,022,10508,12/9/2022,1400,TBA,TBA
MUSI,338,002,12788,12/9/2022,1400,TBA,TBA
STAT,682,001,10298,12/9/2022,1900,TBA,TBA
ASTR,470,001,10209,12/9/2022,1900,TBA,TBA
COMP,413,001,10415,12/9/2022,1400,DCH,1070
AFSC,101,002,10304,12/9/2022,1400,TBA,TBA
ASTR,451,001,10282,12/9/2022,0900,TBA,TBA
BIOE,492,001,12857,12/9/2022,1900,TBA,TBA
CHEM,430,001,10200,12/9/2022,0900,ABL,130
ANTH,332,001,13896,12/9/2022,1400,TBA,TBA
ANTH,532,001,13897,12/9/2022,1400,TBA,TBA
HIST,120,001,14005,12/9/2022,0900,TBA,TBA
SOCI,327,001,14679,12/9/2022,1400,TBA,TBA
UNIV,250,001,11861,12/9/2022,1900,TBA,TBA
CHEM,110,002,13828,12/9/2022,1900,TBA,TBA
COMP,182,002,14933,12/9/2022,1400,TBA,TBA
HIST,403,002,12631,12/9/2022,1400,TBA,TBA
