PERSON_IDENTIFIER,TERM_DESC,CRN,SUBJ_CODE,CRSE_NUMB,SECTION,SCHEDULE_TYPE,TITLE
38,Fall Semester 2022,12982,MUSI,335,001,STU,RICE CHORALE
38,Fall Semester 2022,14725,MUSI,334,002,STU,CAMPANILE ORCHESTRA
39,Fall Semester 2022,10497,MUSI,338,010,STU,CHAMBER MUSIC - UG
39,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
39,Fall Semester 2022,10092,PSYC,101,001,LEC,INTRODUCTION TO PSYCHOLOGY
39,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
39,Fall Semester 2022,10124,MUSI,231,002,LL,AURAL SKILLS & PERFORM TECH I
39,Fall Semester 2022,10451,MUSI,491,002,STU,VIOLIN FOR MAJORS
39,Fall Semester 2022,10743,FWIS,100,008,SEM,INTRO TO ACADEMIC WRITING
39,Fall Semester 2022,11275,MUSI,281,002,STU,SECONDARY PIANO
40,Fall Semester 2022,10497,MUSI,338,010,STU,CHAMBER MUSIC - UG
40,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
40,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
40,Fall Semester 2022,10451,MUSI,491,002,STU,VIOLIN FOR MAJORS
40,Fall Semester 2022,11776,FREN,141,001,LEC,FIRST YEAR FRENCH I
40,Fall Semester 2022,14003,FWIS,181,001,SEM,AFRICAN AMERICAN GRAPHIC NOVEL
41,Fall Semester 2022,10497,MUSI,338,010,STU,CHAMBER MUSIC - UG
41,Fall Semester 2022,10130,MUSI,321,001,LEC,BAROQUE & EARLY CLASSICAL ERAS
41,Fall Semester 2022,10131,MUSI,331,001,LL,AURAL SKILLS & PERF TECH III
41,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
41,Fall Semester 2022,10128,MUSI,311,001,LEC,THEORETICAL STUDIES III
41,Fall Semester 2022,10454,MUSI,493,002,STU,VIOLA FOR MAJORS
41,Fall Semester 2022,10650,BUSI,310,001,LEC,LEADING IN ORGANIZATIONS
42,Fall Semester 2022,10497,MUSI,338,010,STU,CHAMBER MUSIC - UG
42,Fall Semester 2022,10130,MUSI,321,001,LEC,BAROQUE & EARLY CLASSICAL ERAS
42,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
42,Fall Semester 2022,10155,MUSI,495,001,STU,VIOLONCELLO FOR MAJORS
42,Fall Semester 2022,10128,MUSI,311,001,LEC,THEORETICAL STUDIES III
42,Fall Semester 2022,12306,ASTR,101,001,LEC,"STARS, GALAXIES & THE UNIVERSE"
43,Fall Semester 2022,10497,MUSI,338,010,STU,CHAMBER MUSIC - UG
43,Fall Semester 2022,10139,MUSI,421,001,LEC,THE MODERN ERA
43,Fall Semester 2022,10448,MUSI,481,002,STU,PIANO FOR MAJORS
43,Fall Semester 2022,11884,POLI,395,002,LL,APPLIED RESEARCH METHODS
43,Fall Semester 2022,14197,POLI,238,001,LEC,ELECTIONS 2022
43,Fall Semester 2022,14719,POLI,260,003,LEC,ADVOCATING FOR CHANGE
44,Fall Semester 2022,10498,MUSI,338,011,STU,CHAMBER MUSIC - UG
44,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
44,Fall Semester 2022,10283,MUSI,231,001,LL,AURAL SKILLS & PERFORM TECH I
44,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
44,Fall Semester 2022,10451,MUSI,491,002,STU,VIOLIN FOR MAJORS
44,Fall Semester 2022,11275,MUSI,281,002,STU,SECONDARY PIANO
