CRN,TERM_CODE,SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,SUBJ_DESC,SCHOOL_DESC,DEPT_DESC,ENRL,MAX_ENRL,MEETING,CRSE_TITLE,XLST_ENRL,XLST_MAX_ENRL,XLST_GROUP,INSTR_NAME,EXAM_TYPE
14693,202310,ANTH,450,7F1,Anthropology,School of Social Sciences,Anthropology,4,5,02:30PM - 05:00PM R SEW 560,INTERNATIONAL RSCH EXPERIENCE,,,,"Georges, Eugenia",No Final Exam
14920,202310,ANTH,328,001,Anthropology,School of Social Sciences,Anthropology,5,14,12:00PM - 02:50PM F SEW 305,VISUAL ANTHROPOLOGY,6,20,4Q,"Kim, Do Dom",No Final Exam
11494,202310,ARAB,141,001,Arabic,School of Humanities,Cntr Lang & Intercultural Comm,13,20,09:00AM - 09:50AM MWF RZR 304,FIRST YEAR ARABIC I,,,,"Elsherbiny, Hossam A.",No Final Exam
11589,202310,ARAB,263,001,Arabic,School of Humanities,Cntr Lang & Intercultural Comm,7,16,10:00AM - 10:50AM MWF RZR 202,SECOND YEAR ARABIC I,,,,"Elsherbiny, Hossam A.",No Final Exam
14251,202310,ARAB,301,001,Arabic,School of Humanities,Cntr Lang & Intercultural Comm,5,16,11:00AM - 11:50AM MWF RZR 202,THIRD YEAR ARABIC I,,,,"Elsherbiny, Hossam A.",No Final Exam
10368,202310,ARCH,101,001,Architecture,School of Architecture,Architecture,11,0,01:00PM - 05:00PM MWF ANH 237,PRINCIPLES OF ARCHITECTURE I,,,,"Vassallo Fernandez, Jesus",No Final Exam
10041,202310,ARCH,201,001,Architecture,School of Architecture,Architecture,10,25,01:00PM - 05:00PM MWF ANH 201,PRINCIPLES OF ARCHITECTURE III,,,,"Colman, Scott W.",No Final Exam
10042,202310,ARCH,301,001,Architecture,School of Architecture,Architecture,10,25,01:00PM - 05:00PM MWF ANH 235,INTERMEDIATE PROBLEMS ARCH I,,,,"Wamble, Mark S.",No Final Exam
10044,202310,ARCH,401,001,Architecture,School of Architecture,Architecture,10,25,01:00PM - 05:00PM MWF ANH 212,ADVANCED TOPICS ARCHITECTURE,,,,"Pope, Albert H.",No Final Exam
10632,202310,ARCH,105,001,Architecture,School of Architecture,Architecture,4,75,10:50AM - 12:05PM TR HRZ 212,"ENVIRONMENT, CULTURE & SOCIETY",70,75,ZH,"Campana, Joseph A.",No Final Exam
11361,202310,ARCH,225,001,Architecture,School of Architecture,Architecture,43,60,09:25AM - 10:40AM TR MCA 130,INTRO ARCHITECTURAL THINKING,67,70,13,"Geiser, Reto",Take-Home Exam
14814,202310,ARCH,450,003,Architecture,School of Architecture,Architecture,5,49,09:30AM - 12:00PM W ANH 154,"ENERGY, CULTURE, ARCHITECTURE",6,49,5N,"Barajas Saldana, Luis M.",Scheduled Final Exam-Dept Room
11497,202310,ARCH,350,002,Architecture,School of Architecture,Architecture,12,49,09:00AM - 11:30AM F ANH 230,URBAN TRANSPORTATION,,,,"Spieler, Christof T.",No Final Exam
11513,202310,ARCH,201,002,Architecture,School of Architecture,Architecture,8,25,01:00PM - 05:00PM MWF ANH 202,PRINCIPLES OF ARCHITECTURE III,,,,"Karimi, Ali I.",No Final Exam
11514,202310,ARCH,301,002,Architecture,School of Architecture,Architecture,10,25,01:00PM - 05:00PM MWF ANH 236,INTERMEDIATE PROBLEMS ARCH I,,,,"Castellon Gonzalez, Juan Jose",No Final Exam
11515,202310,ARCH,401,002,Architecture,School of Architecture,Architecture,10,25,01:00PM - 05:00PM MWF ANH 212,ADVANCED TOPICS ARCHITECTURE,,,,"Tsang, Margaret",No Final Exam
12063,202310,ARCH,314,001,Architecture,School of Architecture,Architecture,20,50,04:00PM - 05:15PM TR ANH 117,TECHNOLOGY III,35,100,2J,"Barreda, Barbara Constanza",Scheduled Final Exam-Dept Room
